Code,Device,Manufacturer,Base,Package,Leaded Equivalent/Data
0,2SC3603,Nec,CX,SOT173,Npn RF fT 7GHz
005,SSTPAD5,Sil,J,-,PAD-5 5pA leakage diode
p01,PDTA143ET,Phi,N,SOT23,pnp dtr 4k7+4k7
t01,PDTA143ET,Phi,N,SOT23,pnp dtr 4k7+4k7
01,Gali-1,MC,AZ,SOT89,DC-8GHz MMIC amp 12dB gain
010,SSTPAD10,Sil,J,-,PAD-10 10pA leakage diode
011,SO2369R,SGS,R,SOT23R,2N2369
02,BST82,Phi,M,-,n-ch mosfet 80V 175mA
02,MRF5711L,Mot,X,SOT143,npn RF MRF571
02,DTCC114T,Roh,N,-,50V 100mA npn sw + 10k base res
02,Gali-2,MC,AZ,SOT89,DC-8GHz MMIC amp 16dB gain
p02,PDTC143ET,Phi,N,SOT23,npn 4k7+4k7 bias res
t02,PDTC143ET,Phi,N,SOT23,npn 4k7+4k7 bias res
03,Gali-3,MC,AZ,SOT89,DC-3GHz MMIC amp 22dB gain
03,DTC143TE,Roh,N,EMT3,npn dtr R1 4k7 50V 100mA
03,DTC143TUA,Roh,N,SC70,npn dtr R1 4k7 50V 100mA
03,DTC143TKA,Roh,N,SC59,npn dtr R1 4k7 50V 100mA
04,DTC114TCA,Roh,N,SOT23,npn dtr R1 10k 50V 100mA
04,DTC114TE,Roh,N,EMT3,npn dtr R1 10k 50V 100mA
04,DTC114TUA,Roh,N,SC70,npn dtr R1 10k 50V 100mA
04,DTC114TKA,Roh,N,SC59,npn dtr R1 10k 50V 100mA
04,MRF5211L,Mot,X,SOT143,pnp RF MRF521
04,Gali-4,MC,AZ,SOT89,DC-4GHz MMIC amp 17.5 dBm
-04,PMSS3904,Phi,N,SOT323,2N3904
t04,PMBS3904,Phi,N,SOT23,2N3904
05,Gali-4,MC,AZ,SOT89,DC-4GHz MMIC amp 18 dBm o/p
05,DTC124TE,Roh,N,EMT3,npn dtr R1 22k 50V 100mA
05,DTC124TUA,Roh,N,SC70,npn dtr R1 22k 50V 100mA
05,DTC124TKA,Roh,N,SC59,npn dtr R1 22k 50V 100mA
05F,TSDF1205R,Tfk,WQ,-,fT12GHz npn 4V 5mA
06,Gali-6,MC,AZ,SOT89,DC-4GHz MMIC amp 115 dBm o/p
06,DTC144TE,Roh,N,EMT3,npn dtr R1 47k 50V 100mA
06,DTC144TUA,Roh,N,SC70,npn dtr R1 47k 50V 100mA
06,DTC144TKA,Roh,N,SC59,npn dtr R1 47k 50V 100mA
-06,PMSS3906,Phi,N,SOT323,2N3906
t06,PMBS3906,Phi,N,SOT23,2N3906
020,SSTPAD20,Sil,J,-,PAD-20 20pA leakage diode
050,SSTPAD50,Sil,J,-,PAD-50 50pA leakage diode
081,SO2369AR,SGS,R,SOT23R,2N2369A
09,DTC115TUA,Roh,N,SC70,npn dtr R2 100k 50V 100mA
09,DTC115TKA,Roh,N,SC59,npn dtr R2 100k 50V 100mA
0A,MUN5111DW1,Mot,DO,SOT363,dual pnp dtr 10k+10k
0A,DTC125TUA,Roh,N,SC70,npn dtr R2 100k 50V 100mA
0A,DTC125TKA,Roh,N,SC59,npn dtr R2 100k 50V 100mA
0B,MUN5112DW1,Mot,DO,SOT363,dual pnp dtr 22k+22k
0C,MUN5113DW1,Mot,DO,SOT363,dual pnp dtr 47k+47k
0D,MUN5114DW1,Mot,DO,SOT363,dual pnp dtr 10k+47k
0E,MUN5115DW1,Mot,DO,SOT363,dual pnp dtr R1 10k
0F,MUN5116DW1,Mot,DO,SOT363,dual pnp dtr R1 4k7
0G,MUN5130DW1,Mot,DO,SOT363,dual pnp dtr 1k0+1k0
0H,MUN5131DW1,Mot,DO,SOT363,dual pnp dtr 2k2+2k2
0J,MUN5132DW1,Mot,DO,SOT363,dual pnp dtr 4k7+4k7
0K,MUN5133DW1,Mot,DO,SOT363,dual pnp dtr 4k7+47k
0L,MUN5134DW1,Mot,DO,SOT363,dual pnp dtr 22k+47k
0M,MUN5135DW1,Mot,DO,SOT363,dual pnp dtr 2k2+47k
1,2SC3587,Nec,CX,-,npn RF fT10GHz
1,BA277,Phi,I,SOD523,VHF Tuner band switch diode
1 (red),BB669,Sie,I,SOD323,56-2.7 pF varicap
10,MRF9411L,Mot,X,SOT143,npn Rf 8GHz MRF941
10A,PZM10NB2A,Phi,A,SOT346,dual ca 10V 0.3W zener
10V,PZM10NB,Phi,C,SOT346,10V 0.3W zener
10Y,BZV49-C10,Phi,O,SOT89,10V 1W zener
11,MRF9511L,Mot,X,SOT143,npn RF 8GHz MRF951
11,MUN5311DW1,Mot,DP,SOT363,npn/pnp dtr 10k+10k
11,PDTA114EU,Phi,N,SOT416,pnp dtr
p11,PDTA114TT,Phi,N,SOT23,pnp dtr
t11,PDTA114TT,Phi,N,SOT23,pnp dtr
11A,PZM11NB2A,Phi,A,SOT346,dual ca 11V 0.3W zener
11A,MMBD1501A,Nat,C,SOT23,Si diode 200V 100mA
11V,PZM11NB,Phi,C,SOT346,11V 0.3W zener
11Y,BZV49-C11,Phi,O,SOT89,11V 1W zener
12,MUN5312DW1,Mot,DP,SOT363,npn/pnp dtr 22k+22k
